"cps_code","cps_libelle","cps_age_retraite","cps_description","cps_hierarchie_code","cps_cadre_code","cps_typecorps_code","cps_libelle_singulier"
"42353","INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS",60,"INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS","6_SG","29_SG",ENS_FONCT,"INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORT"
"42354","INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF",60,"INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF","6_SG","29_SG",ENS_NON_FONCT,"INSPECTEURS ADJOINTS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF"
"42355",PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT,60,PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT,"6_SG","29_SG",ENS_FONCT,PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT
"42356",PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT NF REF,60,PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT NF REF,"6_SG","29_SG",ENS_NON_FONCT,PROFESSEURS ADJOINTS DE L'EDUCATION PHYSIQUE ET DU SPORT NF REF
"42450",INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF,60,INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF,"7_SG","29_SG",ENS_NON_FONCT,INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF
"42451",INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE,60,INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE,"7_SG","29_SG",ENS_FONCT,INSTRUCTEURS D'EDUCATION PHYSIQUE ET SPORTIVE
"42550",MAITRES D'EDUCATION PHYSIQUE ET DU SPORTIVE NF REF,60,MAITRES D'EDUCATION PHYSIQUE ET SPORTIVE NF REF,"8_SG","29_SG",ENS_NON_FONCT,MAITRES D'EDUCATION PHYSIQUE ET SPORTIVE NF REF
"42551",MAITRES D'EDUCATION PHYSIQUE ET DU SPORT,60,MAITRES D'EDUCATION PHYSIQUE ET SPORTIVE,"8_SG","29_SG",ENS_FONCT,MAITRES D'EDUCATION PHYSIQUE ET SPORTIVE
"42651",MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET DU SPORT,60,MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET SPORTIVE,"9_SG","29_SG",ENS_FONCT,MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET SPORTIVE
"42652",MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET DU SPORTIVE NF REF,60,MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF,"9_SG","29_SG",ENS_NON_FONCT,MAITRES ADJOINTS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF
"43_SG",SECRETAIRES DES GREFFES ET PARQUETS B4,60,Secrétaires des Greffes et Parquets B4,"8_SG","11_SG",FONCT,SECRETAIRES DES GREFFES ET PARQUETS B4
"43102",LINGUISTES NF,60,LINGUISTES NF,"2_SG","30_SG",ENS_NON_FONCT,LINGUISTES NF
"43103",INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE,60,INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE,"2_SG","30_SG",ENS_FONCT,INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE
"43104",INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF,60,INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF,"2_SG","30_SG",ENS_NON_FONCT,INSPECTEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF
"43201",PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE,60,PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE,"3_SG","30_SG",ENS_FONCT,PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE
"43202",PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF,60,PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF,"3_SG","30_SG",ENS_NON_FONCT,PROFESSEURS D'EDUCATION ARTISTIQUE OU MUSICALE NF REF
"43551",MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE,60,MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE,"8_SG","30_SG",ENS_FONCT,MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE
"43552",MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE NF REF,60,MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE NF REF,"8_SG","30_SG",ENS_NON_FONCT,MAITRES D'EDUCATION ARTISTIQUE ET MUSICALE NF REF
"44_SG",SECRETAIRES DES GREFFES ET PARQUETS C2,60,Secrétaires des Greffes et Parquets C2,"10_SG","11_SG",FONCT,SECRETAIRES DES GREFFES ET PARQUETS C2
"44354",PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE THEORIQUE NF REF,60,PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE THEORIQUE NF REF,"6_SG","28_SG",ENS_NON_FONCT,PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE THEORIQUE NF REF
"44455",MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL,60,MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL,"7_SG","28_SG",ENS_FONCT,MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL
"45_SG",INGENIEURS DES TRAVAUX PUBLICS OU DES TRANSPORTS,60,Ingénieurs des Travaux publics ou des Transports,"4_SG","12_SG",FONCT,INGENIEURS DES TRAVAUX PUBLICS OU DES TRANSPORT
"45101",CONSEILLERS AUX AFFAIRES CULTURELLES,60,CONSEILLERS AUX AFFAIRES CULTURELLES,"2_SG","32_SG",ENS_FONCT,CONSEILLERS AUX AFFAIRES CULTURELLE
"45102",CONSEILLERS AUX AFFAIRES CULTURELLES NF REF,60,CONSEILLERS AUX AFFAIRES CULTURELLES NF REF,"2_SG","32_SG",ENS_NON_FONCT,CONSEILLERS AUX AFFAIRES CULTURELLES NF REF
"45103",CONSERVATEURS DE MUSEE,60,CONSERVATEURS DE MUSEE,"2_SG","32_SG",ENS_FONCT,CONSERVATEURS DE MUSEE
"45104",CONSERVATEURS DE MUSEE NF REF,60,CONSERVATEURS DE MUSEE NF REF,"2_SG","32_SG",ENS_NON_FONCT,CONSERVATEURS DE MUSEE NF REF
"45300",ANIMATEURS CULTURELS NF REF,60,ANIMATEURS CULTURELS NF REF,"5_SG","32_SG",ENS_NON_FONCT,ANIMATEURS CULTURELS NF REF
"45301",ANIMATEURS CULTURELS,60,ANIMATEURS CULTURELS,"5_SG","32_SG",ENS_FONCT,ANIMATEURS CULTUREL
"45450",TECHNICIENS DE MUSEE NF REF,60,TECHNICIENS DE MUSEE NF REF,"7_SG","32_SG",ENS_NON_FONCT,TECHNICIENS DE MUSEE NF REF
"45451",TECHNICIENS DE MUSEE,60,TECHNICIENS DE MUSEE,"7_SG","32_SG",ENS_FONCT,TECHNICIENS DE MUSEE
"45951",GARDIENS DE MUSEE,60,GARDIENS DE MUSEE,"14_SG","32_SG",ENS_FONCT,GARDIENS DE MUSEE
"45952",GARDIENS DE MUSEE NF REF,60,GARDIENS DE MUSEE NF REF,"14_SG","32_SG",ENS_NON_FONCT,GARDIENS DE MUSEE NF REF
"49_SG",PROJECTEURS DES TRAVAUX PUBLICS,60,Projecteurs des Travaux publics,"6_SG","12_SG",FONCT,PROJECTEURS DES TRAVAUX PUBLIC
"54100",CADRES DE TOURISME A2 NF,60,CADRES DE TOURISME A2 NF,"2_SG","35_SG",NON_FONCT,CADRES DE TOURISME A2 NF
"54202",CADRES DE TOURISME A3 NF,60,CADRES DE TOURISME A3 NF,"3_SG","35_SG",NON_FONCT,CADRES DE TOURISME A3 NF
"54300",TECHNICIENS EN TOURISME NF,60,TECHNICIENS EN TOURISME NF,"5_SG","35_SG",NON_FONCT,TECHNICIENS EN TOURISME NF
"54350",TECHNICIENS SUPERIEURS DU TOURISME NF,60,TECHNICIENS SUPERIEURS DU TOURISME NF,"6_SG","35_SG",NON_FONCT,TECHNICIENS SUPERIEURS DU TOURISME NF
"54352",TECHNICIENS SUPERIEURS D'HOTELLERIE NF,60,TECHNICIENS SUPERIEURS D'HOTELLERIE NF,"6_SG","35_SG",NON_FONCT,TECHNICIENS SUPERIEURS D'HOTELLERIE NF
"54550",TECHNICIENS D'HOTELLERIE B4 NF,60,TECHNICIENS D'HOTELLERIE B4 NF,"8_SG","35_SG",NON_FONCT,TECHNICIENS D'HOTELLERIE B4 NF
"54650",TECHNICIENS D'HOTELLERIE C1 NF,60,TECHNICIENS D'HOTELLERIE C1 NF,"9_SG","35_SG",NON_FONCT,TECHNICIENS D'HOTELLERIE C1 NF
"54700",AGENTS TECHNIQUES D'HOTELLERIE C2 NF,60,AGENTS TECHNIQUES D'HOTELLERIE C2 NF,"10_SG","35_SG",NON_FONCT,AGENTS TECHNIQUES D'HOTELLERIE C2 NF
"54752",AGENTS TECHNIQUES D'HOTELLERIE C3 NF,60,AGENTS TECHNIQUES D'HOTELLERIE C3 NF,"11_SG","35_SG",NON_FONCT,AGENTS TECHNIQUES D'HOTELLERIE C3 NF
"54950",AGENTS HOTELLERIE D3 NF,60,AGENTS HOTELLERIE D3 NF,"14_SG","35_SG",NON_FONCT,AGENTS HOTELLERIE D3 NF
"54951",CUISINIERS,60,CUISINIERS,"14_SG","35_SG",NON_FONCT,CUISINIER
"54952",RESTAURATEURS ,60,RESTAURATEURS,"9_SG","35_SG",NON_FONCT,RESTAURATEURS 
"55025",CONSEILLERS EN ORGANISATION,60,CONSEILLERS EN ORGANISATION,"1_SG","55_SG",FONCT,CONSEILLERS EN ORGANISATION
"58_SG",TECHNICIENS CARTOGRAPHES,60,Techniciens cartographes,"8_SG","13_SG",FONCT,TECHNICIENS CARTOGRAPHE
"58025",CRYPTOLOGUES,60,CRYPTOLOGUES,"1_SG","58_SG",FONCT,CRYPTOLOGUE
"58026",CRYPTOLOGUES NF REF,60,CRYPTOLOGUES NF REF,"1_SG","58_SG",NON_FONCT,CRYPTOLOGUES NF REF
"58301",INGENIEURS DES TRAVAUX DU CHIFFRE,60,INGENIEURS DES TRAVAUX DU CHIFFRE,"5_SG","58_SG",FONCT,INGENIEURS DES TRAVAUX DU CHIFFRE
"58302",INGENIEURS DES TRAVAUX DU CHIFFRE NF REF,60,INGENIEURS DES TRAVAUX DU CHIFFRE NF REF,"5_SG","58_SG",NON_FONCT,INGENIEURS DES TRAVAUX DU CHIFFRE NF REF
"58350",CHIFFREURS B2 NF REF,60,CHIFFREURS B2 NF REF,"6_SG","58_SG",NON_FONCT,CHIFFREURS B2 NF REF
"58351",CHIFFREURS B2,60,CHIFFREURS B2,"6_SG","58_SG",FONCT,CHIFFREURS B2
"58450",CHIFFREURS B3 NF REF,60,CHIFFREURS B3 NF REF,"7_SG","58_SG",NON_FONCT,CHIFFREURS B3 NF REF
"58451",CHIFFREURS B3,60,CHIFFREURS B3,"7_SG","58_SG",FONCT,CHIFFREURS B3
"58551",CHIFFREURS,60,CHIFFREURS,"8_SG","58_SG",FONCT,CHIFFREUR
"58552",CHIFFREURS NF REF,60,CHIFFREURS NF REF,"8_SG","58_SG",NON_FONCT,CHIFFREURS NF REF
